processors/jobs,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,
2,864,864,1520,1512,2177,1965,2725,2743,3139,3266,3815,3480,4366,5004,4912,5234,5163,5797,5790,5294,
4,975,1088,1311,2056,2165,2604,2740,2857,3570,3809,4378,4378,4922,4803,5353,6009,5524,5997,7100,7070,
6,974,1629,1630,2188,2608,1961,2843,3293,3780,4363,4018,4369,5226,5659,5244,5024,6219,6674,7657,8277,
8,870,1628,1198,2182,2727,3039,2844,3813,4320,4377,4381,4910,6012,5452,5681,6549,6599,7651,8212,8889,
10,975,1413,1952,2075,2393,2386,3159,3816,3581,4918,3503,5478,5261,5567,6669,7646,8244,8806,7883,8177,
12,873,1198,2165,2168,2717,2185,3798,4350,4911,5456,4928,5871,6517,7096,7658,8199,8332,8730,9309,10043,
14,980,1634,1515,2610,3156,2075,4345,4035,4684,5467,5251,5453,7873,7642,8204,8752,7875,8478,9854,10198,
16,972,1630,2169,2734,3042,3818,4260,4901,3499,5466,6574,6542,9629,8190,7771,9304,9501,10398,10966,10953,
18,870,1087,2062,2398,2719,3826,4052,4549,5559,5568,5912,7651,9372,8725,8090,7292,10395,10942,8732,11510,
20,1082,1528,2432,2833,2622,3799,5003,5522,4692,5803,6352,4797,6779,7870,9188,10611,9849,11472,12172,9605,
